Record ID,Family Resource Center,Age,Race / Ethnicity,Gender,Primary Language,Geography,Poverty Level
98653,La Manzana Community Resources,0-5,Multi-racial,Female,Other,Monterey County,Below 100%
92770,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
98671,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
88706,La Manzana Community Resources,19-59,Multi-racial,Female,English,Monterey County,Below 100%
94629,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
96310,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
71785,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
96127,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
60711,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
98637,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
80099,La Manzana Community Resources,19-59,Multi-racial,Female,English,Monterey County,Below 100%
74455,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
42366,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
26115,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
95230,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
70006,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
66056,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
86234,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
92548,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
91618,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
59897,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
59291,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
94928,La Manzana Community Resources,19-59,Multi-racial,Female,English,Monterey County,Below 100%
5864,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
65761,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
2710,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
63426,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
63620,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
