Record ID,Family Resource Center,Age,Race / Ethnicity,Gender,Primary Language,Geography,Poverty Level
98653,La Manzana Community Resources,0-5,Multi-racial,Female,Other,Monterey County,Below 100%
12816,La Manzana Community Resources,0-5,Multi-racial,Female,Spanish,Watsonville,Below 100%
18054,Nueva Vista Community Resources,0-5,Multi-racial,Female,English,Santa Cruz ,100%-200%
2230,Nueva Vista Community Resources,0-5,Asian,Female,Other,Santa Cruz ,100-200%
92770,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
80464,La Manzana Community Resources,19-59,Multi-racial,Female,English,Watsonville,Below 100%
14888,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
11106,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
82642,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
12350,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
42068,La Manzana Community Resources,19-59,American Indian or Alaska Native,Female,Other,Watsonville,Below 100%
24269,La Manzana Community Resources,19-59,American Indian or Alaska Native,Female,Other,Watsonville,Below 100%
81056,La Manzana Community Resources,19-59,White,Female,Spanish,Watsonville,Below 100%
97383,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
98605,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
98671,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
88720,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Monterey County,Below 100%
94491,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
6514,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
77460,La Manzana Community Resources,19-59,Multi-racial,Female,English,Watsonville,Below 100%
79885,La Manzana Community Resources,19-59,Multi-racial,Female,English,Watsonville,Below 100%
69558,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
10498,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
97062,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
6131,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
5301,La Manzana Community Resources,19-59,Latino,Female,Spanish,Watsonville,Below 100%
6837,La Manzana Community Resources,19-59,Latino,Female,Other,Watsonville,Below 100%
88706,La Manzana Community Resources,19-59,Multi-racial,Female,English,Monterey County,Below 100%
28364,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
88708,La Manzana Community Resources,19-59,Multi-racial,Female,English,South County,Below 100%
86237,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
6622,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
65953,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
17029,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
95067,La Manzana Community Resources,19-59,Multi-racial,Female,English,Watsonville,Below 100%
94629,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
63768,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
81524,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
90061,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Below 100%
92608,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
78005,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Below 100%
96310,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
66606,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Monterey County,Below 100%
86634,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Below 100%
90828,La Manzana Community Resources,19-59,Multi-racial,Male,English,Watsonville,Below 100%
36357,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,100%-200%
71785,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
62803,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
8735,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Below 100%
67475,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Below 100%
39631,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Monterey County,Below 100%
74290,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
90117,La Manzana Community Resources,19-59,Multi-racial,Female,English,Watsonville,Below 100%
96127,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
5970,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
95840,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
65324,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
97141,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,South County,Below 100%
60711,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
98637,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
79172,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
98513,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
23524,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
78275,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
13471,La Manzana Community Resources,19-59,Latino,Male,Spanish,Monterey County,Below 100%
18067,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Above 200%
83287,La Manzana Community Resources,19-59,Multi-racial,Female,English,Watsonville,Below 100%
5388,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
41730,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Below 100%
39244,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
6639,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
86424,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
80099,La Manzana Community Resources,19-59,Multi-racial,Female,English,Monterey County,Below 100%
86175,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
71769,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
74455,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
5944,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
11201,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
42366,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
26115,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
89731,La Manzana Community Resources,19-59,Multi-racial,Male,English,Monterey County,Below 100%
5384,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
94388,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
84008,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
97678,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
62224,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,South County,Below 100%
96067,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
84097,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
45887,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
77784,La Manzana Community Resources,19-59,White,Female,Spanish,Watsonville,Below 100%
94359,La Manzana Community Resources,19-59,Multi-racial,Male,English,Watsonville,Below 100%
95230,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
93771,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,South County,Below 100%
94582,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
88408,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Below 100%
83282,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
23546,La Manzana Community Resources,19-59,Latino,Female,Spanish,Watsonville,Below 100%
98565,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,100%-200%
70006,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
66056,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
47391,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
93759,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
44099,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
3082,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Below 100%
86234,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
98575,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
10408,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
68934,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
47825,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
94605,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Below 100%
78607,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
27708,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
3772,La Manzana Community Resources,19-59,Latino,Female,Spanish,Watsonville,Below 100%
9907,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
38137,La Manzana Community Resources,19-59,Latino,Female,Spanish,Watsonville,Below 100%
92548,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
55575,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
81433,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
54549,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
11723,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
10054,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
20083,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
96785,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
46502,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
91618,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
3516,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
98690,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
1833,La Manzana Community Resources,19-59,Latino,Female,Other,Watsonville,Below 100%
93365,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,South County,Below 100%
96220,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Monterey County,Below 100%
90779,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
17778,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Monterey County,Below 100%
49133,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
95851,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
21992,La Manzana Community Resources,19-59,Latino,Female,Other,Watsonville,Below 100%
97720,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,100%-200%
18055,La Manzana Community Resources,19-59,Latino,Female,Spanish,Monterey County,Below 100%
89237,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
82908,La Manzana Community Resources,19-59,White,Female,English,Santa Cruz ,Below 100%
97366,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
6626,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
52916,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Below 100%
57759,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
85733,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
94527,La Manzana Community Resources,19-59,White,Female,Other,Watsonville,Below 100%
8005,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
95980,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Santa Cruz County,Below 100%
28247,La Manzana Community Resources,19-59,Latino,Female,Spanish,Watsonville,Below 100%
64878,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
59897,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
8989,La Manzana Community Resources,19-59,Latino,Female,Spanish,Watsonville,Below 100%
82989,La Manzana Community Resources,19-59,Multi-racial,Male,English,Watsonville,Below 100%
2956,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
22583,La Manzana Community Resources,19-59,Latino,Female,Spanish,Monterey County,Below 100%
78646,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
94185,La Manzana Community Resources,19-59,Multi-racial,Female,English,Watsonville,Below 100%
58307,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
59291,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
94531,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Below 100%
85819,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Monterey County,Below 100%
30244,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,South County,Below 100%
5566,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
9917,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
7992,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Below 100%
89269,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
6480,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
84841,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
6697,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
3930,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,South County,Below 100%
4125,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
6653,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
10655,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
94995,La Manzana Community Resources,19-59,Multi-racial,Female,Other,South County,Below 100%
14920,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
95144,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
66317,La Manzana Community Resources,19-59,American Indian or Alaska Native,Female,English,Watsonville,Below 100%
82835,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
94928,La Manzana Community Resources,19-59,Multi-racial,Female,English,Monterey County,Below 100%
6146,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
89189,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
1229,La Manzana Community Resources,19-59,White,Female,English,Mid-County,Below 100%
8001,La Manzana Community Resources,19-59,Latino,Female,Spanish,Watsonville,Above 200%
83793,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Santa Cruz ,Below 100%
93163,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
41733,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
20177,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
9798,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
18779,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
23360,La Manzana Community Resources,19-59,Latino,Female,Spanish,Watsonville,Below 100%
20841,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Santa Cruz County,Below 100%
10618,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Monterey County,Below 100%
2393,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
5864,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
68213,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,Below 100%
65072,La Manzana Community Resources,19-59,Multi-racial,Male,English,Monterey County,Below 100%
91211,La Manzana Community Resources,19-59,Multi-racial,Female,English,Watsonville,Below 100%
64904,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
79036,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
65761,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
2710,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Monterey County,Below 100%
19718,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
63426,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
89170,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
54051,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
24762,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
87630,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
5653,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
95821,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,South County,Below 100%
56050,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
32479,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
87182,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
89968,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
81517,La Manzana Community Resources,19-59,Latino,Female,Spanish,South County,Below 100%
46883,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
85062,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
11995,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
10939,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
95993,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
93165,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
93791,La Manzana Community Resources,19-59,White,Female,Spanish,Watsonville,Below 100%
59188,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Below 100%
89928,La Manzana Community Resources,19-59,Multi-racial,Male,English,Watsonville,Below 100%
18716,La Manzana Community Resources,19-59,Latino,Female,English,Watsonville,Below 100%
25113,La Manzana Community Resources,19-59,Latino,Female,Spanish,Watsonville,Below 100%
1916,La Manzana Community Resources,19-59,Latino,Female,Spanish,Watsonville,Below 100%
76387,La Manzana Community Resources,19-59,Multi-racial,Male,Other,Watsonville,100%-200%
89755,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Watsonville,Above 200%
66153,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Monterey County,Below 100%
62036,La Manzana Community Resources,19-59,Latino,Female,Spanish,Monterey County,Below 100%
63620,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Monterey County,Below 100%
96186,La Manzana Community Resources,19-59,Multi-racial,Female,English,Watsonville,Below 100%
60742,La Manzana Community Resources,19-59,Multi-racial,Female,Other,Watsonville,Below 100%
91689,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
94723,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
18461,La Manzana Community Resources,19-59,Latino,Female,Spanish,Watsonville,Below 100%
71814,La Manzana Community Resources,19-59,Multi-racial,Male,Spanish,Monterey County,Below 100%
25428,La Manzana Community Resources,19-59,Latino,Female,Spanish,South County,Below 100%
77799,La Manzana Community Resources,19-59,Multi-racial,Female,Spanish,Watsonville,Below 100%
